1+1:                          Канал 1+1
2+2:                          2+2 (кино)
5 канал:                      5 канал (Украина)
Business:                     Business (Украина)
ICTV:                         ICTV (Украина)
Інтер:                        Интер
М1:                           М-1
Новий канал:                  Новый Канал
НТН:                          НТН (Украина)
Перший національний:          Первый национальный (Украина)
Плюс Плюс:                    ПЛЮСПЛЮС
Тоніс:                        Тонис
ТРК Київ:                     ТРК Киев
ТРК Україна:                  Украина
MAXXI TV:                     MAXXI-TV
Music Box UA:                 Music Box Ua
News One:                     NewsOne
QTV:                          QTV (Куй ТВ)
RU Music:                     RU MUSIC
zik:                          ZIK
Культура:                     Россия Культура
НЛО ТВ:                       НЛО-ТВ
Перший діловий:               Первый деловой
Телеканал Новин 24:           Телеканал 24
ЧП инфо:                      ЧП.Info
2x2:                          Канал 2x2
Comedy TV:                    ТНТ-Comedy
Dobro:                        Добро ТВ (Украина)
Enter Фільм:                  Enter-фильм
MTV HITS:                     MTV Hits
Домашние Животные:            Домашние животные
Драйв:                        Драйв ТВ
ЕвроКино:                     Еврокино
Здоровое ТВ:                  Здоровое Телевидение
Индия ТВ:                     Индия
Піксель:                      Пиксель
Ретро:                        Ретро ТВ
Pro Все:                      Pro все
КРТ:                          КРТ (Киевская русь)
